bl_no,route,atd,schedule,pri,sheet
245672055,HAM-TAN-SHA,2024-11-18,2025-01-07,40,2024
245672954,HAM-TAN-SHA,2024-11-18,2025-01-08,50,2025
245671507,HAM-TAN-SHA,2024-11-18,2025-01-08,40,2024
246448344,HAM-TAN-SHA,2024-11-23,2025-01-16,50,2025
246448343,HAM-TAN-SHA,2024-11-23,2025-01-16,40,2024
245672506,HAM-TAN-SHA,2024-11-26,2025-01-21,40,2024
245672960,HAM-TAN-SHA,2024-11-26,2025-01-21,40,2024
245672045,HAM-TAN-SHA,2024-11-26,2025-01-21,40,2024
245672507,HAM-TAN-SHA,2024-12-07,2025-01-27,50,2025
245672046,HAM-TAN-SHA,2024-12-07,2025-01-27,40,2024
245672971,HAM-TAN-SHA,2024-12-07,2025-01-27,50,2025
245672505,HAM-TAN-SHA,2024-12-14,2025-02-09,40,2024
245672956,HAM-TAN-SHA,2024-12-14,2025-02-09,40,2024
245672044,HAM-TAN-SHA,2024-12-14,2025-02-09,40,2024
246451647,HAM-TAN-SHA,2024-12-18,2025-02-11,50,2025
246449429,HAM-TAN-SHA,2024-12-27,2025-02-18,50,2025
246450581,HAM-TAN-SHA,2024-12-29,2025-02-27,50,2025
246451654,HAM-TAN-SHA,2024-12-31,2025-02-18,50,2025
246450587,HAM-TAN-SHA,2025-01-04,2025-03-03,50,2025
246449427,HAM-TAN-SHA,2025-01-04,2025-03-03,50,2025
246450588,HAM-TAN-SHA,2025-01-04,2025-03-03,50,2025
246450584,HAM-TAN-SHA,2025-01-04,2025-03-03,50,2025
246451655,HAM-TAN-SHA,2025-01-04,2025-03-03,50,2025
247891227,HAM-TAN-SHA,2025-01-19,2025-03-13,50,2025
247895526,HAM-TAN-SHA,2025-01-19,2025-03-13,50,2025
247891224,HAM-TAN-SHA,2025-01-23,2025-03-26,50,2025
247888852,HAM-TAN-SHA,2025-01-23,2025-03-26,50,2025
247895307,HAM-TAN-SHA,2025-01-23,2025-03-26,50,2025
